band,anova_f_period
b08,5.356146771772e+01
b09,5.242812889480e+01
b10,2.259460399980e+01
b11,1.789243660793e+01
b02,1.652160493827e+01
b07,1.652160493827e+01
b04,1.652160493827e+01
b06,1.652160493827e+01
b05,1.652160493827e+01
b01,1.652160493827e+01
b03,1.652160493827e+01
b44,1.320417225224e+01
b16,7.784384044293e+00
b42,6.596261516851e+00
b14,5.469994614658e+00
b25,5.195473251029e+00
b48,5.036529518684e+00
b40,4.829716141128e+00
b43,4.799117951084e+00
b41,4.052526818882e+00
b15,3.502296758484e+00
b39,3.498684704491e+00
b38,2.849233558787e+00
b46,2.769761907803e+00
b37,2.325156319518e+00
b27,2.226631393298e+00
b28,2.226631393298e+00
b17,2.183779653837e+00
b18,2.171775146877e+00
b45,2.135106567045e+00
b29,2.053740014524e+00
b47,2.001455768374e+00
b19,1.960440294722e+00
b20,1.912811702724e+00
b33,1.516086021505e+00
b36,1.471109442942e+00
b35,1.404696762426e+00
b13,1.337405716634e+00
b34,1.299200722424e+00
b31,1.157848324515e+00
b12,1.127346341787e+00
b22,8.251633986928e-01
b21,8.140547214978e-01
b23,7.379763226045e-01
b30,7.333671057075e-01
b24,6.864098080846e-01
b32,6.453863289952e-01
b26,
