condition,K,eigenvalue,cumulative_variance
baseline,1,8.808047046432e+00,2.358511096017e-01
shuffled,1,6.269106323470e+00,1.689446342006e-01
baseline,2,6.435276182746e+00,4.081670634440e-01
shuffled,2,3.682493307027e+00,2.681832581130e-01
baseline,3,4.246080586120e+00,5.218634154747e-01
shuffled,3,3.146249009145e+00,3.529707637841e-01
baseline,4,3.582759647009e+00,6.177981707875e-01
shuffled,4,2.724429408876e+00,4.263907547906e-01
baseline,5,2.762110683776e+00,6.917585919997e-01
shuffled,5,2.518360096244e+00,4.942574335949e-01
baseline,6,2.686886366111e+00,7.637047484496e-01
shuffled,6,2.093248881324e+00,5.506678928054e-01
baseline,7,1.923166928994e+00,8.152009600118e-01
shuffled,7,1.618636430976e+00,5.942881355681e-01
baseline,8,1.165498826398e+00,8.464092619198e-01
shuffled,8,1.408503708350e+00,6.322455622728e-01
baseline,9,1.013067356044e+00,8.735359403725e-01
shuffled,9,1.340406664247e+00,6.683678581611e-01
baseline,10,9.160616998200e-01,8.980651200223e-01
shuffled,10,1.247116172208e+00,7.019760910811e-01
baseline,11,8.043432212875e-01,9.196028389106e-01
shuffled,11,1.043829021707e+00,7.301059876151e-01
baseline,12,6.655927731090e-01,9.374252680204e-01
shuffled,12,1.020197960670e+00,7.575990563851e-01
baseline,13,5.530392798416e-01,9.522338773655e-01
shuffled,13,9.047938259858e-01,7.819821269650e-01
baseline,14,4.813954496418e-01,9.651240958619e-01
shuffled,14,8.547361555236e-01,8.050162054576e-01
baseline,15,3.613285170200e-01,9.747993089052e-01
shuffled,15,7.535727664299e-01,8.253240561781e-01
baseline,16,2.840211020681e-01,9.824044785552e-01
shuffled,16,7.380275605118e-01,8.452129828938e-01
baseline,17,1.923841737649e-01,9.875559066315e-01
shuffled,17,5.764227861707e-01,8.607468615249e-01
baseline,18,1.216237188342e-01,9.908125978015e-01
shuffled,18,5.689866720972e-01,8.760803461115e-01
baseline,19,8.908765352297e-02,9.931980780134e-01
shuffled,19,5.374944240832e-01,8.905651537023e-01
baseline,20,6.936007314463e-02,9.950553172093e-01
shuffled,20,4.160853156502e-01,9.017781365138e-01
baseline,21,5.359357583910e-02,9.964903804262e-01
shuffled,21,4.037303070785e-01,9.126581671794e-01
baseline,22,3.942070236980e-02,9.975459397739e-01
shuffled,22,3.861455909141e-01,9.230643115705e-01
baseline,23,3.275348189083e-02,9.984229724472e-01
shuffled,23,3.722036772859e-01,9.330947386940e-01
baseline,24,2.302706462614e-02,9.990395630165e-01
shuffled,24,3.154564007858e-01,9.415958971506e-01
baseline,25,1.559993531229e-02,9.994572790021e-01
shuffled,25,3.048313072927e-01,9.498107225254e-01
baseline,26,1.284738224633e-02,9.998012904886e-01
shuffled,26,2.564372027607e-01,9.567213868499e-01
baseline,27,3.391182816267e-03,9.998920954339e-01
shuffled,27,2.206944816938e-01,9.626688292054e-01
baseline,28,2.872718817655e-03,9.999690175845e-01
shuffled,28,2.199928735034e-01,9.685973640911e-01
baseline,29,7.434458491741e-04,9.999889246680e-01
shuffled,29,1.886641463237e-01,9.736816286646e-01
baseline,30,2.277002435732e-04,9.999950217466e-01
shuffled,30,1.732275864333e-01,9.783498971088e-01
baseline,31,1.672106524605e-04,9.999994991089e-01
shuffled,31,1.643110068603e-01,9.827778748008e-01
baseline,32,1.250501968867e-05,9.999998339530e-01
shuffled,32,1.560631233182e-01,9.869835822686e-01
baseline,33,6.169576314809e-06,9.999999991544e-01
shuffled,33,1.199625960709e-01,9.902164253351e-01
baseline,34,3.157961837474e-08,1.000000000000e+00
shuffled,34,1.047158370282e-01,9.930383871697e-01
baseline,35,3.308441346374e-16,1.000000000000e+00
shuffled,35,1.020029599620e-01,9.957872403346e-01
baseline,36,2.052809721534e-16,1.000000000000e+00
shuffled,36,8.382425866209e-02,9.980462000628e-01
baseline,37,0.000000000000e+00,1.000000000000e+00
shuffled,37,7.250055379998e-02,1.000000000000e+00
baseline,38,0.000000000000e+00,1.000000000000e+00
shuffled,38,0.000000000000e+00,1.000000000000e+00
baseline,39,0.000000000000e+00,1.000000000000e+00
shuffled,39,0.000000000000e+00,1.000000000000e+00
baseline,40,0.000000000000e+00,1.000000000000e+00
shuffled,40,0.000000000000e+00,1.000000000000e+00
baseline,41,0.000000000000e+00,1.000000000000e+00
shuffled,41,0.000000000000e+00,1.000000000000e+00
baseline,42,0.000000000000e+00,1.000000000000e+00
shuffled,42,0.000000000000e+00,1.000000000000e+00
baseline,43,0.000000000000e+00,1.000000000000e+00
shuffled,43,0.000000000000e+00,1.000000000000e+00
baseline,44,0.000000000000e+00,1.000000000000e+00
shuffled,44,0.000000000000e+00,1.000000000000e+00
baseline,45,0.000000000000e+00,1.000000000000e+00
shuffled,45,0.000000000000e+00,1.000000000000e+00
baseline,46,0.000000000000e+00,1.000000000000e+00
shuffled,46,0.000000000000e+00,1.000000000000e+00
baseline,47,0.000000000000e+00,1.000000000000e+00
shuffled,47,0.000000000000e+00,1.000000000000e+00
baseline,48,0.000000000000e+00,1.000000000000e+00
shuffled,48,0.000000000000e+00,1.000000000000e+00
baseline,49,0.000000000000e+00,1.000000000000e+00
shuffled,49,0.000000000000e+00,1.000000000000e+00
baseline,50,0.000000000000e+00,1.000000000000e+00
shuffled,50,0.000000000000e+00,1.000000000000e+00
baseline,51,0.000000000000e+00,1.000000000000e+00
shuffled,51,0.000000000000e+00,1.000000000000e+00
baseline,52,0.000000000000e+00,1.000000000000e+00
shuffled,52,0.000000000000e+00,1.000000000000e+00
baseline,53,0.000000000000e+00,1.000000000000e+00
shuffled,53,0.000000000000e+00,1.000000000000e+00
baseline,54,0.000000000000e+00,1.000000000000e+00
shuffled,54,0.000000000000e+00,1.000000000000e+00
baseline,55,0.000000000000e+00,1.000000000000e+00
shuffled,55,0.000000000000e+00,1.000000000000e+00
baseline,56,0.000000000000e+00,1.000000000000e+00
shuffled,56,0.000000000000e+00,1.000000000000e+00
baseline,57,0.000000000000e+00,1.000000000000e+00
shuffled,57,0.000000000000e+00,1.000000000000e+00
baseline,58,0.000000000000e+00,1.000000000000e+00
shuffled,58,0.000000000000e+00,1.000000000000e+00
baseline,59,0.000000000000e+00,1.000000000000e+00
shuffled,59,0.000000000000e+00,1.000000000000e+00
baseline,60,0.000000000000e+00,1.000000000000e+00
shuffled,60,0.000000000000e+00,1.000000000000e+00
