layer,source_domain,band_lower_hz,band_upper_hz,band_width_hz,avg_transition_energy_eV,n_transitions_used,anova_f_block,anova_f_period
b26,levels,4.582927305446e+11,4.900227642993e+16,4.900181813720e+16,8.396738504661e+00,29998,2.134577458111e+01,3.220918118456e+01
b23,levels,4.582927305446e+11,4.900227642993e+16,4.900181813720e+16,8.396738504661e+00,29998,1.633342815105e+01,2.707335948029e+01
b29,levels,9.812516386260e+14,9.812516386260e+14,0.000000000000e+00,4.057605256124e+00,1499,1.536276824696e+01,1.594420363583e+01
b28,levels,6.873968520616e+14,6.873968520616e+14,0.000000000000e+00,2.863645365786e+00,1499,1.445960379296e+01,1.695007323781e+01
b32,levels,3.786424612786e+15,3.786424612786e+15,0.000000000000e+00,1.549982647328e+01,1499,1.149589195554e+01,
b31,levels,2.298053165898e+15,2.298053165898e+15,0.000000000000e+00,9.533918030373e+00,1499,1.109508554676e+01,
b30,levels,1.449729023481e+15,1.449729023481e+15,0.000000000000e+00,6.005971026665e+00,1499,9.967769493519e+00,1.192230326408e+01
b33,levels,4.582927305446e+11,9.812516386260e+14,9.807933458955e+14,2.886131666627e+00,7500,9.553834716730e+00,5.676643086050e+01
b35,levels,2.298053165898e+15,4.900227642993e+16,4.670422326403e+16,1.825529884248e+01,7500,9.529112759879e+00,5.670009449585e+01
b25,levels,4.582927305446e+11,4.900227642993e+16,4.900181813720e+16,8.396738504661e+00,29998,8.745946242417e+00,1.925340270117e+01
b34,levels,9.812516386260e+14,2.298053165898e+15,1.316801527272e+15,6.222471852546e+00,14998,,3.000909547337e+01
b20,levels,4.582927305446e+11,4.900227642993e+16,4.900181813720e+16,8.396738504661e+00,29998,,1.404108070456e+01
