K,threshold_percentile,tau,num_communities,modularity,delta_communities
1,95,0.000000000000e+00,1,0.000000000000e+00,0
2,95,1.817116178753e-01,1,0.000000000000e+00,0
3,95,1.698455889301e-01,2,0.000000000000e+00,1
4,95,8.024372502632e-01,3,0.000000000000e+00,1
5,95,9.977494454845e-01,4,0.000000000000e+00,1
6,95,1.008578397490e+00,5,0.000000000000e+00,1
7,95,1.008249513103e+00,5,5.000000000000e-01,0
8,95,1.002924967287e+00,6,5.000000000000e-01,1
9,95,9.968397720698e-01,7,5.000000000000e-01,1
10,95,1.003689039828e+00,7,6.666666666667e-01,0
11,95,9.970312180973e-01,8,6.666666666667e-01,1
12,95,9.930365249828e-01,8,3.750000000000e-01,0
13,95,9.930365248006e-01,8,0.000000000000e+00,0
14,95,9.883063274538e-01,2,-2.498001805407e-17,-6
15,95,9.835761300706e-01,2,3.469446951954e-18,0
16,95,9.835761297640e-01,2,3.469446951954e-18,0
17,95,9.531130812113e-01,2,-4.163336342344e-17,0
18,95,9.592056909177e-01,2,0.000000000000e+00,0
19,95,9.407516292840e-01,2,4.471731626962e-17,0
20,95,9.326599654129e-01,2,3.200000000000e-01,0
21,95,9.242491463221e-01,2,-3.217123537266e-17,0
22,95,9.241137488429e-01,2,3.556183125752e-17,0
23,95,9.011893234023e-01,2,-3.095814203282e-17,0
24,95,9.234367614467e-01,2,1.883414059632e-16,0
25,95,8.886065605241e-01,2,6.568819562366e-17,0
26,95,8.835153173365e-01,2,-8.755251425812e-17,0
27,95,9.241137488429e-01,2,4.444444444444e-01,0
28,95,8.922016356321e-01,2,4.321329639889e-01,0
29,95,8.826918909281e-01,2,4.081632653061e-01,0
30,95,8.382134037403e-01,2,3.966942148760e-01,0
31,95,8.214218198530e-01,3,3.750000000000e-01,1
32,95,8.110700949503e-01,2,1.366962099070e-17,-1
33,95,8.106319177844e-01,2,3.456790123457e-01,0
34,95,8.102122843996e-01,4,5.778834720571e-01,2
35,95,8.104059613464e-01,4,3.200000000000e-01,0
36,95,8.069546291267e-01,3,1.699218750000e-01,-1
37,95,7.997609802962e-01,3,4.204152249135e-01,0
38,95,7.942970997469e-01,3,5.000000000000e-01,0
39,95,7.863129841272e-01,2,2.659279778393e-01,-1
40,95,7.715362025591e-01,3,3.024326101249e-01,1
41,95,7.659734109820e-01,2,2.498512790006e-01,-1
42,95,7.576187166373e-01,2,2.355371900826e-01,0
43,95,7.506658962041e-01,2,2.268431001890e-01,0
44,95,7.365078488520e-01,3,5.798611111111e-01,1
45,95,7.305540501602e-01,2,2.112000000000e-01,-1
46,95,7.000478876519e-01,3,3.816568047337e-01,1
47,95,6.879989439248e-01,2,1.034526000219e-17,-1
48,95,6.628277798553e-01,3,3.545706371191e-01,1
49,95,6.591433810806e-01,2,6.080352793763e-17,-1
50,95,6.486732549475e-01,3,3.309053069719e-01,1
51,95,6.371606792033e-01,3,1.699218750000e-01,0
52,95,6.336928477833e-01,4,3.795945644910e-01,1
53,95,6.189236574057e-01,2,9.885409721074e-17,-2
54,95,5.880415731867e-01,3,2.916666666667e-01,1
55,95,5.748976517341e-01,2,1.472000000000e-01,-1
56,95,5.490490068479e-01,3,2.125147579693e-01,1
57,95,5.477850147006e-01,2,1.387500000000e-01,-1
58,95,5.242292838541e-01,2,1.341268689215e-01,0
59,95,5.186095681127e-01,2,1.873985938345e-01,0
60,95,5.072649336390e-01,2,1.257416992804e-01,0
